wl_depth,impact_criterion,coupled_criterion,sserr_result,touchdown_distance
50.0,43.33936741566075,59.22010439788235,0.45111592275563817,652.5251329744493
100.0,60.31885877516797,85.72592248312576,0.8629520438894621,891.0093738167892
150.0,74.70142295060863,107.99580507094636,1.2894738082950337,1094.9155095109109
200.0,88.31695516337928,128.57556266181854,1.7434051627347211,1245.0708107677578
250.0,104.08410415682452,152.1663693980962,2.216220312880333,1422.88651785428
300.0,123.43189737546682,180.10159218718047,2.7612561476359154,1585.6934294893742
350.0,137.8893806351006,201.25353245951948,3.3156531110411613,1688.1314630008887
400.0,152.94549517531897,223.46025725193118,3.8940750986055055,1814.931028241401
450.0,161.3381454789668,236.88106565030998,4.415474685738494,1884.3117321580748
500.0,175.28758252122114,258.1352043569862,5.031470121509332,2026.0127664638546
550.0,183.64491030312357,271.4531986290865,5.603689955511722,2104.7715798788977
600.0,188.9143058898193,280.9747547882574,6.1257770992879905,2171.7355665652653
650.0,196.45499045409787,293.97106861114594,6.745214661780807,2284.861298356999
700.0,201.87285480411208,304.0398302836417,7.366467661463796,2381.0058018616114
750.0,205.53585883892927,311.6879434348002,7.988520136156275,2467.5182203484087
800.0,207.66710698567536,317.2426865592065,8.610808572167645,2548.057072708644
850.0,208.41889448277274,320.8258308597968,9.23297177921897,2624.6329834148964
900.0,207.9014666103937,322.6621422847248,9.854752631399087,2698.448121811439
930.0,207.01771319318135,322.958692893564,10.227554921217628,2741.748332111024
