Pit_ID,Slope Angle,HS,Profile Depth,WL_Depth,ECT_Score,ECT_Propagation,ECT_NumTaps,max_stress,impact_criterion,coupled_criterion,sserr_result,touchdown_distance,ss_max_Sxx_norm,slab_tensile_criterion
2c4c2181-2596-4642-82b3-980e2ba21b94,20,980.0,980.0,780.0,ECTP15,True,15,0.034208228822859316,61.44058518880568,165.7999822005445,3.9642230620028567,1452.8098804239482,1.865262265794336,0.09056122448979592
222ba8b9-b886-420f-a847-1067890e360e,36,1000.0,1000.0,400.0,ECTN27,False,27,0.009767575587429557,58.74206744844117,147.68980529013828,2.0117964549865817,1067.956959416024,1.7039988875635625,0.3193069306930693
33b94689-c616-4df4-b1ab-07f27ef76bc7,29,2240.0,2240.0,170.0,ECTN21,False,21,0.0023674943960824363,51.97252163061748,128.3065501865395,1.0335021578727204,1008.4872032297069,2.3398745086834043,0.06857142857142857
73bc79c5-6acb-4715-a0d7-9e224322f461,34,1150.0,1150.0,700.0,ECTN25,False,25,0.03959730650465457,103.5071893348313,274.55735426970057,4.165887910995609,1599.5285991356488,2.5435715454566017,0.07605633802816901
ff543c71-5020-4ab8-8270-8594f3c7eaac,31,410.0,410.0,100.0,ECTN1,False,1,0.0003535269888653769,13.483243337013379,36.81923098621044,0.44316389637735576,460.2051368140727,1.9733046999056556,0.3627450980392157
23f9519e-f6bb-4be1-b8b7-e92a2b4b58da,30,560.0,560.0,270.0,ECTP6,True,6,0.0048919719220206544,60.313722163586746,152.42150606296906,1.5063292246034237,1029.0590600957357,2.394343394141908,0.2600732600732601
2c4c2181-2596-4642-82b3-980e2ba21b94,20,980.0,980.0,780.0,ECTP2,True,2,0.034208228822859316,61.44058518880568,165.7999822005445,3.9642230620028567,1452.8098804239482,1.865262265794336,0.09056122448979592
2c4c2181-2596-4642-82b3-980e2ba21b94,20,980.0,980.0,780.0,ECTP21,True,21,0.034208228822859316,61.44058518880568,165.7999822005445,3.9642230620028567,1452.8098804239482,1.865262265794336,0.09056122448979592
23f9519e-f6bb-4be1-b8b7-e92a2b4b58da,30,560.0,560.0,270.0,ECTP5,True,5,0.0048919719220206544,60.313722163586746,152.42150606296906,1.5063292246034237,1029.0590600957357,2.394343394141908,0.2600732600732601
0dd96bb5-0234-453e-b5c5-57bdebcd3d65,23,1610.0,1610.0,1000.0,ECTP30,True,30,0.11939689290662164,129.3589024974337,370.6213268191021,7.291794739863247,2287.67673596829,1.5006629952061539,0.10208126858275521
33b94689-c616-4df4-b1ab-07f27ef76bc7,29,2240.0,2240.0,170.0,ECTN17,False,17,0.0023674943960824363,51.97252163061748,128.3065501865395,1.0335021578727204,1008.4872032297069,2.3398745086834043,0.06857142857142857
45fa9731-8520-4667-89e7-6c5290e4f0a7,35,1480.0,1480.0,260.0,ECTN11,False,11,0.004748559228159394,46.06328939981419,117.70844665850404,1.4545223384563233,962.5260362058979,1.9870699281062811,0.24904214559386972
1742c7e9-b5bf-4cb5-be23-5a33b4d1dca7,30,880.0,880.0,440.0,ECTN25,False,25,0.012792039127028117,83.95624194242339,188.24836709523157,2.292411074631176,1295.010028651834,2.096174022593571,0.24830699774266365
047073ae-106b-4c61-9d44-293b88911eaa,35,1200.0,1200.0,370.0,ECTN23,False,23,0.011416633686043278,81.43670856434713,200.84173324286644,2.1417595418128665,1427.9923942648666,1.742717830159935,0.32707774798927614
ff543c71-5020-4ab8-8270-8594f3c7eaac,31,410.0,410.0,100.0,ECTN11,False,11,0.0003535269888653769,13.483243337013379,36.81923098621044,0.44316389637735576,460.2051368140727,1.9733046999056556,0.3627450980392157
f7625a6d-c077-4b0f-886a-3703c4d339e5,28,750.0,750.0,340.0,ECTN13,False,13,0.008605251085076914,60.38818532227522,154.54708107310813,1.9615254744652724,1310.4857535616143,2.519806900360115,0.0838150289017341
047073ae-106b-4c61-9d44-293b88911eaa,35,1200.0,1200.0,370.0,ECTN27,False,27,0.011416633686043278,81.43670856434713,200.84173324286644,2.1417595418128665,1427.9923942648666,1.742717830159935,0.32707774798927614
044601d2-b215-4aaa-819e-ec3f175e6feb,36,1690.0,1690.0,300.0,ECTN22,False,22,0.002789212318988458,22.07869102092187,58.32371000251979,1.1916200163790358,698.4645788034719,2.4695152635954396,0.05592105263157895
42131953-0d49-4212-ac95-c68a395e6547,42,2820.0,1500.0,480.0,ECTP21,True,21,0.018042524629484535,89.64846949934724,196.62596714949134,2.6518425011150333,1213.3215125436056,1.9301976331432982,0.4394250513347023
f30affee-2a75-420c-88e5-5208db0a2cc1,38,1120.0,1120.0,490.0,ECTP11,True,11,0.011198358148615832,45.734729562917046,131.74985885363907,2.190176053116125,958.6678888760644,1.6155569036714283,0.35080645161290325
f7625a6d-c077-4b0f-886a-3703c4d339e5,28,750.0,750.0,340.0,ECTN17,False,17,0.008605251085076914,60.38818532227522,154.54708107310813,1.9615254744652724,1310.4857535616143,2.519806900360115,0.0838150289017341
5ab547cf-94da-4a81-9618-7329af80ae8c,33,720.0,720.0,590.0,ECTN25,False,25,0.024656353450053466,67.24221979805337,177.46583435539395,3.282962289818556,1312.0084769384437,1.643427233209269,0.1929530201342282
45362873-c3f1-4beb-86ee-d90bfa46428c,37,1720.0,1720.0,40.0,ECTN10,False,10,0.00017018591017986518,27.79994881580777,61.11651180170843,0.268793150877743,523.6323696847656,2.5678099505678804,0.3333333333333333
5ab547cf-94da-4a81-9618-7329af80ae8c,33,720.0,720.0,590.0,ECTN23,False,23,0.024656353450053466,67.24221979805337,177.46583435539395,3.282962289818556,1312.0084769384437,1.643427233209269,0.1929530201342282
d7f2df11-dc97-4248-9df2-f1de9e6f0b4f,31,540.0,540.0,297.0,ECTN12,False,12,0.005085419996735707,47.839727379933315,119.94952620895191,1.4833730225102248,977.9168497041204,1.725675557273722,0.3609271523178808
c004e5af-21a6-45e1-8a76-16c3f83f2bfa,35,2480.0,2480.0,80.0,ECTN4,False,4,0.00045253105045461905,26.120696883783687,64.05047000259519,0.45529481664570726,595.7058149634665,2.3274365862883144,0.2839506172839506
444e2d81-2eb8-494d-abdf-bb4a48579f99,0,610.0,610.0,200.0,ECTN18,False,18,0.002453314493295253,33.78051388552864,85.38059585685389,1.1248243148590742,872.5128756891,2.0807474442794422,0.26108374384236455
0e528f6d-b02e-4eb1-bc2b-71f6a468764b,29,720.0,720.0,220.0,ECTP16,True,16,0.003066619632833695,40.5052940992577,102.19801045759638,1.1770441107726333,876.6260165896607,1.965111701001959,0.3452914798206278
d7077b6d-e9f2-47ea-92ac-ace7d32af9f9,32,1190.0,1190.0,258.0,ECTN16,False,16,0.005325347950441419,58.973813784898624,148.61082997662436,1.522404592244453,1223.2772765269553,2.510405047603958,0.11742424242424243
0e528f6d-b02e-4eb1-bc2b-71f6a468764b,29,720.0,720.0,220.0,ECTP4,True,4,0.003066619632833695,40.5052940992577,102.19801045759638,1.1770441107726333,876.6260165896607,1.965111701001959,0.3452914798206278
45362873-c3f1-4beb-86ee-d90bfa46428c,37,1720.0,1720.0,40.0,ECTN8,False,8,0.00017018591017986518,27.79994881580777,61.11651180170843,0.268793150877743,523.6323696847656,2.5678099505678804,0.3333333333333333
95e71b77-8a5d-4192-8451-bb989e51124c,34,1160.0,1160.0,720.0,ECTN22,False,22,0.03948231664267968,108.22476893964908,262.84409355005033,4.015855462198756,1564.2793432859876,1.7872804674926204,0.3415977961432507
0e528f6d-b02e-4eb1-bc2b-71f6a468764b,29,720.0,720.0,220.0,ECTN17,False,17,0.003066619632833695,40.5052940992577,102.19801045759638,1.1770441107726333,876.6260165896607,1.965111701001959,0.3452914798206278
968bb4d0-072d-491c-8887-12b285c05bb5,30,760.0,760.0,610.0,ECTN18,False,18,0.0470154325533983,123.30752957239415,321.679630397934,4.462531468885949,1901.8355842730018,2.7798196240978963,0.21221864951768488
968bb4d0-072d-491c-8887-12b285c05bb5,30,760.0,760.0,455.0,ECTN24,False,24,0.0252252908238716,109.76522541256575,279.6275673145624,3.2524399310661476,1775.26772936765,2.6749135863964013,0.22629310344827586
9930512a-40c9-4765-ab40-dc93442c138b,46,690.0,690.0,580.0,ECTN12,False,12,0.017287533137038718,72.10188868339756,174.6979508599365,2.566993763734764,1169.6203418488105,1.6286391539860094,0.3613013698630137
dbc85d23-691b-46d9-abb9-93b7286eabb7,34,820.0,820.0,400.0,ECTP2,True,2,0.005976501138373256,41.61081974334731,110.02719376471785,1.7237864435807086,831.1936448620876,2.412702420778186,0.12935323383084577
32dae67a-3c0d-4c3b-8acb-95492b811c78,28,3700.0,1700.0,150.0,ECTN22,False,22,0.0027962296561175465,77.62894642600067,179.0297957142347,1.106116944024714,1044.0432781272018,1.9717581813508203,0.16883116883116883
32dae67a-3c0d-4c3b-8acb-95492b811c78,28,3700.0,1700.0,200.0,ECTN28,False,28,0.00597726207983152,105.20419442232583,248.91373119494676,1.5786462428986185,1609.1844586087234,1.7638780953845334,0.2
41047c27-5721-4c99-b59e-0b92b71640fc,25,920.0,920.0,490.0,ECTP11,True,11,0.015367137904293367,63.144411458760565,163.45256943181658,2.609445843483921,1316.1975099139631,1.6341238853607285,0.2389558232931727
a6a5b22f-69ed-4ca3-9317-715cfe2b1a4a,39,1750.0,1750.0,800.0,ECTN23,False,23,0.05581981632629347,115.33116269012329,311.0824763968705,4.829438579373443,1589.1701189295375,2.235553638642893,0.22332506203473945
b82928b1-33d7-462a-aa30-30c162206923,36,1160.0,1160.0,460.0,ECTN16,False,16,0.012969376061736171,56.20222597457013,150.28780236290993,2.3657218342597486,1080.1660132894356,1.6575226245450527,0.28509719222462204
41047c27-5721-4c99-b59e-0b92b71640fc,25,920.0,920.0,490.0,ECTN15,False,15,0.015367137904293367,63.144411458760565,163.45256943181658,2.609445843483921,1316.1975099139631,1.6341238853607285,0.2389558232931727
