Slope Angle,HS,Profile Depth,Pit Near Avalanche Location,WL_Depth,WL_Thickness,max_stress,impact_criterion,coupled_criterion,sserr_result,touchdown_distance,ss_max_Sxx_norm,slab_tensile_criterion
23,,1000.0,crown,800.0,10.0,0.14355485887320912,194.16159598142266,540.3913003330122,7.867528738401836,2863.6301796770854,1.412142744150055,0.14444444444444443
42,930.0,930.0,crown,390.0,10.0,0.006464930331526753,33.9563311341105,94.64358314742836,1.6850628190059243,820.6582643230389,1.4351027662789642,0.26903553299492383
28,1350.0,1350.0,crown,300.0,10.0,0.0023048596450301537,18.22492032589071,49.55616844755161,1.0914101242082002,636.0995197662443,1.5434145683277818,0.25165562913907286
24,740.0,740.0,flank,480.0,260.0,0.020843133514645,92.01935119130844,224.3919503780891,2.9982544586366036,1430.0944648847858,1.7855440422273468,0.42650103519668736
28,2000.0,1250.0,flank,90.0,290.0,0.00033845454298077923,31.704343840049773,58.79233062438911,0.3763796302549634,599.1412162788512,2.2413000744338563,0.5
27,1750.0,1750.0,flank,1170.0,10.0,0.1565254716975058,127.15256064032722,369.85673724255105,8.22945109891253,2228.307550551282,1.3677298897815233,0.15717926932880205
38,710.0,710.0,crown,350.0,10.0,0.005299315691972289,32.447591823601456,89.47637468451532,1.5500951907726541,804.7382642844063,1.5820113631883026,0.28611898016997167
17,1250.0,1250.0,other,770.0,60.0,0.05250687510550657,114.50109312373706,294.1264690070799,4.857268857166519,1727.277418965942,1.868169937303494,0.29935483870967744
27,710.0,710.0,crown,520.0,190.0,0.01596906379354921,66.9921143781711,170.88126914895622,2.60927544960763,1333.4587611969494,1.4846124930866502,0.259047619047619
15,2200.0,2200.0,other,1700.0,500.0,0.559769780064807,103.95113073645247,428.46247544473016,15.751529151658621,3445.2406584690266,1.2356245398226817,0.204093567251462
30,1700.0,1700.0,crown,1500.0,20.0,0.33228142787069165,151.77101264817108,476.89722890676904,11.796436171279927,2732.526139903705,1.6710619215453475,0.18783068783068782
27,1080.0,1080.0,flank,20.0,150.0,6.0154162111905226e-05,24.1652269969898,45.02782955666523,0.1584760241786773,427.9895746637913,2.5347232390615497,0.5
