Slope Angle,HS,Profile Depth,WL_Depth,max_stress,impact_criterion,coupled_criterion,sserr_result,touchdown_distance,ss_max_Sxx_norm,slab_tensile_criterion
37,975.0,975.0,505.0,0.019211593059546395,70.99309205892258,184.7233492002099,2.848243826375611,1296.382704354567,1.843322857343787,0.251953125
40,800.0,800.0,600.0,0.0149488888155495,48.273102792415784,134.283459743823,2.4895567576275472,1019.14331332332,2.819140296944374,0.15562913907284767
38,1320.0,1320.0,700.0,0.024440954698761626,67.81087336718832,180.68404647851648,3.157319792631495,1203.7422705085226,1.9041258262797849,0.23404255319148937
38,1640.0,1640.0,1240.0,0.08714041636915654,109.875506997484,259.03008294866896,5.843736871610613,1634.0435948079303,1.357447754470164,0.15594855305466238
30,710.0,710.0,430.0,0.013905466662053022,69.8096973365967,177.26052025077922,2.4387981648522614,1292.7601034662875,1.5762601058130052,0.3486238532110092
40,1670.0,1670.0,990.0,0.10341775467711678,141.60327924415978,394.0827527780474,6.398253592268591,2239.9324343875555,1.8037417649658536,0.052104208416833664
30,1920.0,1920.0,700.0,0.017604770021454774,39.53061183987751,110.57760147715149,2.8514045310985687,972.8723823245062,1.7230065064256979,0.10810810810810811
38,1170.0,1170.0,630.0,0.025840783275849533,67.75474105965567,181.37605049703268,3.3155694123423904,1251.5666351502507,1.5900131935455346,0.1557632398753894
35,1020.0,1020.0,460.0,0.028791332948611165,138.27695038179363,321.486569551934,3.430983986634218,1619.5579214653956,1.9797306786373805,0.33261802575107297
34,1450.0,1450.0,440.0,0.010694141707082914,74.42865176559941,161.34062252036833,2.0901202077851755,1115.0468280599548,2.0853129311007303,0.42117117117117114
25,1200.0,1200.0,450.0,0.04185824742429442,173.8525244802485,418.6657773882859,4.2104668155343905,2143.9386825556953,1.680524897364147,0.1836283185840708
35,3670.0,3670.0,2390.0,0.8437650112033104,53.42549499374524,256.9411282392583,18.497945712270493,3066.446191654652,1.0968557451936018,0.03164029975020816
37,1400.0,1400.0,680.0,0.047424196360811535,113.50043452780834,294.73008997662953,4.399283483406978,1712.3445531447587,2.2526826714129844,0.2005813953488372
35,1390.0,1390.0,420.0,0.014546071411616332,116.80374471347844,296.9182906677116,2.50558887050659,1765.5739679596522,1.647333757745791,0.17647058823529413
37,1180.0,1180.0,330.0,0.004127005722304978,63.04949207785559,159.97478560093856,1.3830029990384247,1064.0429167322727,1.923602899325168,0.08059701492537313
32,830.0,830.0,470.0,0.01976760907717224,91.43434903239039,231.80406261196458,2.8459334745197387,1612.0696761033375,1.6580671481778613,0.2905263157894737
40,980.0,980.0,310.0,0.011920340809913017,100.45508981331793,245.00304845020565,2.219949682945249,1256.9360017508789,2.277200267595061,0.2747603833865815
33,1280.0,1280.0,380.0,0.014438320588510621,80.78198803099052,202.60923761104124,2.47269414036486,1306.7217741306445,1.840114202681499,0.35340314136125656
35,2100.0,2100.0,1780.0,0.7780182694857987,102.32291751214343,409.50490015838284,17.56941548049367,3878.404536614013,1.4600835984691267,0.19719887955182072
38,770.0,770.0,330.0,0.003662290827403508,26.268289991717104,69.04078678860357,1.2945670357867511,773.6409781427247,1.3621803584620713,0.17771084337349397
36,1170.0,1170.0,450.0,0.012381471545375654,56.24483496889623,146.33577365962293,2.288966477007822,1117.9700227332874,1.6300342489686994,0.30022075055187636
27,2360.0,2360.0,1930.0,0.6600539601017785,89.9967201165561,402.78180947836904,16.742946112079075,3253.1181228020287,1.1815871120039496,0.062564632885212
40,1830.0,1830.0,620.0,0.07042396703060105,186.0586022973619,458.32413281008337,5.270405004279466,2107.8420010586087,2.2138376929723167,0.2515923566878981
36,1320.0,1320.0,510.0,0.02608789923541737,93.43512721569476,238.43183075330415,3.2865704926813497,1459.4475242063918,1.7965157033174624,0.2807017543859649
42,800.0,800.0,480.0,0.012517569723453113,56.027664686811214,153.76837107753045,2.2770573282073734,1063.6860943602046,2.3590159212777784,0.2268041237113402
30,900.0,900.0,340.0,0.005175791673973179,42.89966423162186,109.2025189257576,1.5044626281788986,910.3226628853677,1.806324688543098,0.3620689655172414
32,650.0,650.0,450.0,0.020450057228578636,88.78797235451896,225.04120839130087,2.933358502540896,1469.75303252395,1.8113401436947503,0.3010989010989011
32,1600.0,1000.0,810.0,0.10726645030541283,196.51509634113526,461.53372628524335,6.568159034433284,2348.9320752531803,1.7084785904446764,0.33902439024390246
25,660.0,660.0,310.0,0.008053556796049478,65.7268080425509,166.01052704529582,1.9119546030408079,1227.6544374152222,2.0854544575026295,0.26031746031746034
31,1080.0,1080.0,430.0,0.0189770514655003,90.88745935702272,229.62012410504383,2.823399573784311,1524.1923735002572,2.409575824496902,0.2791762013729977
41,950.0,950.0,310.0,0.024979458889602922,190.1230500023653,425.51625067644966,3.086306647803778,1928.0127837953116,1.742758105529039,0.21543408360128619
38,1210.0,1210.0,630.0,0.047739320647200184,175.18598290569915,393.4348743450165,4.3002847486266615,2066.0902039187918,3.670889595446763,0.1536050156739812
41,720.0,720.0,610.0,0.048176217845548736,169.41901045175445,394.88554394606325,4.372106181627268,1811.8970892013501,1.7589890521364187,0.1791530944625407
