wl_depth,impact_criterion,coupled_criterion,sserr_result,touchdown_distance
10.0,10.216299404287899,13.324060683669064,0.06814893806400973,211.95310734505642
20.0,14.899736999765793,18.910503722045007,0.13490252267067127,296.43382148086886
30.0,18.636645600821108,23.488724703123626,0.19998135165678899,358.57156072494115
40.0,21.893218650804883,27.516683666554627,0.2645751288901677,410.4435393218162
50.0,24.81608757814887,31.143855422512587,0.32894375150985605,455.06416358980243
60.0,27.627393998451524,34.626786440094776,0.3937834799716081,497.11182414699636
70.0,30.22839379930324,37.8694035737761,0.45866023025151814,533.8385323465594
80.0,32.68881688464792,40.94188095138105,0.5237418967704279,567.4983195573171
90.0,35.101077722081804,43.93609294772472,0.5893253930488644,600.0162933851601
100.0,37.42474521590655,46.84630770643437,0.6552448620887676,630.2768374606353
110.0,39.919113641582655,49.95921325483535,0.7224098148202039,663.1527653289611
120.0,42.32548308969968,52.94420268587598,0.7900606005322226,692.6626452260857
130.0,44.7559881865586,55.98747551221028,0.8585266904575446,721.5308380715555
140.0,47.162939287541185,58.97709079773739,0.927690676291832,748.9514212313146
150.0,49.54227168122376,61.95242808665444,0.9975149520719835,775.038196069344
160.0,52.13483654264707,65.1675995036399,1.068750631048145,803.7606522535829
170.0,54.66343501583228,68.33154135146933,1.140726513034299,830.0221172934342
180.0,57.17378436620204,71.46734568897408,1.2135059937469062,855.0941373815976
190.0,59.68432691515271,74.59286482298234,1.2871195410776277,879.4710724660998
200.0,62.15161698723252,77.66640139032906,1.3614133289862873,902.6535933462875
210.0,64.84507286333985,81.02797892683492,1.4371990661323237,928.5554681872043
220.0,67.46738690320521,84.30905457478755,1.5137254516491172,952.4548633433217
230.0,70.0601460453797,87.54974727287117,1.5910404712438595,975.3980119638999
240.0,72.64782939530207,90.77352880823145,1.6691746325178005,997.8466563841974
250.0,75.18605624142066,93.93835837974453,1.7479562902145171,1019.3167321373348
260.0,77.84589418459751,97.28492407386432,1.8279201785099173,1042.1126643300743
270.0,80.4561840437512,100.53210695532678,1.9085711927472642,1063.8525751632578
280.0,83.03462596714193,103.77516600066292,1.9899102941563405,1084.9346775753907
290.0,85.58953740182598,106.98287030079888,2.0719292792872315,1105.5602066455544
300.0,88.12045319768407,110.15496665710927,2.1545988033576746,1125.7855413482387
310.0,90.84993981572543,113.57460260034492,2.238703659110999,1148.29701988519
320.0,93.50738360394803,116.9118588519863,2.3234155294383103,1169.5458610449086
330.0,96.09015455757877,120.12786790481573,2.408641229249182,1189.7035119656541
340.0,98.66717741634191,123.39806960466146,2.494576495202563,1209.7177705971308
350.0,101.21727804103944,126.59188763601266,2.581129084190618,1229.3611991229125
360.0,103.86051661622488,129.9290242782722,2.6687492407009943,1250.0378893258066
370.0,106.44067500482407,133.15645418868013,2.7568854952640955,1269.847271279722
380.0,108.95232241742994,136.30619102093374,2.845456038971068,1288.8418023463303
390.0,111.43930195422564,139.4538635396338,2.934591020640024,1307.6056072778292
400.0,113.88091954774625,142.54517750714743,3.024183101116011,1325.9303895282612
410.0,116.39421036136721,145.72078798839854,3.114710720303121,1345.1488538131657
420.0,118.83656977581526,148.8165453795786,3.205604562530835,1363.5894020694002
430.0,121.2313160981197,151.8540344647564,3.296928122173644,1381.6190350915515
440.0,123.59053933860162,154.84451159680367,3.3886851776840397,1399.352258980675
450.0,125.91765772912476,157.79135950988058,3.480882065700028,1416.8769773971117
460.0,128.26393297115413,160.74035358378313,3.573747813976061,1434.7693798100186
470.0,130.55885377222714,163.6946153798728,3.666962842112801,1452.215687616693
480.0,132.8042781085557,166.52447719794074,3.7605054845850625,1469.271997501674
490.0,135.01408092779704,169.3732975737613,3.8544188066004743,1486.1185543491845
500.0,137.17471068005943,172.1639843435343,3.9486167903461835,1502.6175248383859
510.0,139.38069934126173,174.97929191001822,4.043567021521133,1519.830204807269
520.0,141.52652802329487,177.72730846268772,4.138758871474821,1536.5322011704272
530.0,143.63946612820408,180.43219239458423,4.234304024322867,1553.059364444206
540.0,145.70008301741123,183.07757723327,4.3300846142026,1569.2055132907844
550.0,147.73492365331873,185.68673290230294,4.426222745365114,1585.285842587694
560.0,149.79347379934507,188.30213024930572,4.522986837090911,1601.8465222959583
570.0,151.8122544827203,190.93001070032187,4.620050581261129,1618.148247982004
580.0,153.7855863439771,193.50460356300093,4.717366468493851,1634.143640800838
590.0,155.74311168350627,196.0513645671486,4.815084055769485,1650.1731847003996
600.0,157.65772342210008,198.5477483217635,4.913032391845719,1665.901762982835
610.0,159.57499789037357,200.9737581877847,5.011492031108912,1681.9077839344716
620.0,161.4448793181751,203.46328690873963,5.1101663931417765,1697.5844789615385
630.0,163.28381798592324,205.8549558551514,5.209135412728082,1713.1326112831441
640.0,165.088042224334,208.20450367514383,5.308368417005111,1728.5142496093097
650.0,166.83820613555278,210.4964548174746,5.407733588581212,1743.5185099544997
660.0,168.59085923583848,212.77755464050068,5.50756851384606,1758.7987781703728
670.0,170.29338303280494,215.06090169135183,5.60755079370187,1773.7431860884412
680.0,171.95649990240662,217.18810224529392,5.707729945757338,1788.4874938847063
690.0,173.56628378070752,219.37106881218853,5.807999710939619,1802.88008794144
700.0,175.13557954717444,221.39960127321217,5.908425578464092,1817.0803589797704
710.0,176.68806408994817,223.5125462240706,6.009160353550257,1831.3642392288677
720.0,178.18844210682073,225.46408389916022,6.109958929556121,1845.3181417233175
730.0,179.65628124235582,227.4867411446259,6.21094132812175,1859.1784772754393
740.0,181.07872962486636,229.35573711259966,6.312006599989633,1872.7957918891302
750.0,182.4552604251797,231.23188713301568,6.413134433396599,1886.169329747944
760.0,183.8446307731699,233.10791017389295,6.514754363387872,1899.9938903009584
770.0,185.19548625125393,234.89161820412534,6.616500139443394,1913.6430440555614
780.0,186.49835378875486,236.7327734679003,6.7182874172830385,1927.0079253112597
790.0,187.77680830220166,238.44178428235057,6.820283993163534,1940.376107403325
800.0,189.01333439979672,240.10993519088353,6.922349772295326,1953.5343593423431
810.0,190.23511406527084,241.86031993398984,7.024691941008574,1966.8136825353258
820.0,191.4142025618087,243.46740546836415,7.127088444367705,1979.8687910008377
830.0,192.56261384726625,245.04325252473848,7.2296254582269786,1992.8499981805555
840.0,193.6789634685526,246.58713778194328,7.332286586033257,2005.739605023913
850.0,194.7544951665175,248.09284747036094,7.434990459909122,2018.4294984878957
860.0,195.82620712905978,249.5883264930141,7.538047084909058,2031.380829657165
870.0,196.8607168448153,251.04889444698262,7.641178322254292,2044.1678068296603
880.0,197.87023889394504,252.48393765273386,7.744482937038823,2056.9456781993963
890.0,198.84954641495716,253.79214650583975,7.847912121805791,2069.6447528968033
900.0,199.78297639695157,255.1583184152032,7.951317590852924,2082.06686838036
910.0,200.71105329370786,256.51418451473705,8.055060917388937,2094.7352430552514
920.0,201.60409540979884,257.7419350825134,8.15887793175937,2107.261172135533
930.0,202.45844875357986,259.0324797485859,8.262724857885562,2119.5989370095367
940.0,203.27736028680525,260.1961679639131,8.366621214652586,2131.792884420557
950.0,204.05819989792386,261.4229896223799,8.470556322646985,2143.8422037519736
960.0,204.82186284645095,262.5374314614212,8.574681543476414,2155.9573277243203
970.0,205.54950761134893,263.6218537283895,8.67883354211826,2167.9181341442895
980.0,206.245726347526,264.67981506844774,8.7830500361881,2179.7869226350813
990.0,206.91707103775133,265.7161972435011,8.887394407518734,2191.651730765535
1000.0,207.5553373172068,266.6320184001037,8.991777992694832,2203.399463417385
1010.0,208.14073403340043,267.5078146555044,9.095973071487979,2214.7587542519213
1020.0,208.7000241812141,268.45548359951283,9.200254936620775,2226.102239468851
1030.0,209.22514074941867,269.28357273702,9.304528509814253,2237.3154074443805
1040.0,209.71922367848683,270.0876731613341,9.408821041104238,2248.441593635234
1050.0,210.18417563580525,270.8693213945761,9.513148586948217,2259.5064401133045
1060.0,210.6427394758621,271.644311830979,9.617781259616264,2270.83419066821
1070.0,211.07947516736448,272.31042118170706,9.722545719075484,2282.1978469240266
1080.0,211.48906888311114,273.04785900077115,9.82737871130685,2293.518428497776
1090.0,211.86790305341268,273.7624263817946,9.932231879628265,2304.7419002005645
1100.0,212.21786023475354,274.3644494436073,10.03712213403574,2315.8955134864505
1110.0,212.5447055814209,274.9495154278402,10.14211891628766,2327.064597861615
1120.0,212.84816829528262,275.51757837761716,10.247219282622167,2338.2438335735806
1130.0,213.12156430866972,276.0642954735698,10.352334703838773,2349.3304241802443
1140.0,213.36531698565884,276.5901267300486,10.457463965747024,2360.3301514105265
1150.0,213.58340682896878,277.00739703611885,10.562655582588373,2371.3039486278494
1160.0,213.77919053610222,277.4091822650339,10.667954451401032,2382.303451560945
1170.0,213.9516141676683,277.88520276682664,10.77334693198426,2393.311059585184
1180.0,214.09421541900048,278.2505674234535,10.878739800935321,2404.2227355807368
1190.0,214.1997747346111,278.5910455452883,10.984017776845494,2414.920808013972
1200.0,214.2784147785058,278.82331074688636,11.089317539828054,2425.5690700192467
1210.0,214.3342023316035,279.1305059342352,11.194697786386035,2436.2334717123463
1220.0,214.35865737945502,279.416964351357,11.300024937038287,2446.771279027522
1230.0,214.35903897344014,279.59745822698176,11.405405611288742,2457.303443678744
1240.0,214.33262120325077,279.7604078459776,11.51079370082207,2467.782175700213
1250.0,214.28036450157893,279.90651989437686,11.616200314788314,2478.2225985356226
1260.0,214.22014553119416,279.95734803248513,11.72192451913045,2488.9361932662578
1270.0,214.12922488108688,280.07843191713823,11.827596041551912,2499.522091563209
1280.0,214.01607105583835,280.0949263056465,11.933352092936783,2510.1300134360304
1290.0,213.87985686436122,280.186871900954,12.03917921471739,2520.744526503691
1300.0,213.7191849434695,280.0823229644608,12.145052272424971,2531.3394910766615
1310.0,213.53479396774765,280.14339235808814,12.250982922878773,2541.9278245262885
1320.0,213.3221410028134,280.00522815486494,12.356884688294182,2552.4234438457697
1330.0,213.0824976523251,279.940275935545,12.462773452748173,2562.8485806294407
1340.0,212.81488010673235,279.7665316470277,12.568622787063447,2573.1822939585113
1350.0,212.51675443158007,279.6640063990926,12.67437156960439,2583.372201594443
1360.0,212.19369136093133,279.45442396437835,12.7801220087125,2593.525601360979
1370.0,211.8477608193149,279.1386525887565,12.8859141060285,2603.682529447707
1380.0,211.4739019245933,278.8043961811046,12.991636019257037,2613.737706080492
1390.0,211.0844382618547,278.5513550976509,13.097553176526828,2623.945038479914
1400.0,210.67687174297302,278.28655228448963,13.203620323941053,2634.2536696111797
1410.0,210.24712385158904,277.9151983881212,13.309751972701218,2644.5774478136973
1420.0,209.7891676992401,277.5250676518742,13.415807080215991,2654.784465161023
1430.0,209.31064218114722,277.1210929127218,13.521957696695711,2665.0400269414986
1440.0,208.80959786427076,276.70197348318857,13.628159635916154,2675.30051670289
1450.0,208.28582803200132,276.1744394721556,13.734407442459704,2685.560365934923
1460.0,207.74597829921032,275.63536685059614,13.840870349623888,2695.9731061006487
1470.0,207.18232346360557,275.1732946107769,13.947361263482449,2706.3599490281686
1480.0,206.57817276029655,274.5902196963725,14.053421844107786,2716.3157397708937
1490.0,205.95908860892098,273.9961611218155,14.15972086130466,2726.4539817607506
1500.0,205.31139923811205,273.3820915027984,14.26588136691814,2736.435814573158
1510.0,204.64780784259122,272.66139888446344,14.372261478088095,2746.5795454938025
1520.0,203.96786382257054,272.02318018672975,14.478861888841918,2756.877611144486
1530.0,203.26240939530985,271.3667768854089,14.585417942009856,2767.091797890482
1540.0,202.52964856613517,270.5949992164526,14.69186055355253,2777.1680887317348
1550.0,201.78120363709564,269.81065832711914,14.79855200018926,2787.4212152989003
1560.0,201.01282907600984,269.0108619702067,14.905369252830143,2797.737224327494
1570.0,200.22353402336566,268.1948618162837,15.012285145912676,2808.0890399121113
1580.0,199.41205659619737,267.3617226916805,15.119259213541087,2818.4398546600473
1590.0,198.58791963770364,266.5177207020298,15.226627960477655,2829.073580441882
1600.0,197.74087847762243,265.55765105770234,15.33375855917666,2838.7145432194816
1610.0,196.8672084476889,264.6750329568801,15.440141387993261,2846.1774915861583
1620.0,195.9711068055409,263.67557285981775,15.546490445903114,2853.555513653055
1630.0,195.0546131467907,262.75839023479443,15.652878587926981,2860.907344099795
1640.0,194.11874659358236,261.72532633363886,15.759347062191386,2868.264377297497
1650.0,193.15468816149536,260.66941395546473,15.865544803324024,2875.35116882551
1660.0,192.17636845181224,259.5999892132612,15.972021463682985,2882.603764582234
1670.0,191.1791395224023,258.4122920566015,16.078603807937153,2889.879357655462
1680.0,190.1573619199075,257.3048340198146,16.185058663055717,2896.9925480667234
1690.0,189.11771292855522,256.0785523908447,16.29166498781126,2904.165711299892
1700.0,188.05483833582494,254.934139862659,16.398195246269843,2911.216712582453
1710.0,186.98531536955124,253.78094806070087,16.505387558491073,2918.7326510941684
1720.0,185.894745199903,252.50484287988468,16.612647254912158,2926.2201875611277
1730.0,184.77746134447284,251.20474501074193,16.71971812496746,2933.472107459099
1740.0,183.63994826815792,249.99019485427007,16.82688424106608,2940.7242064521647
1750.0,182.47983843929268,248.64955666536179,16.934038216026458,2947.888331002079
1760.0,181.30300389585818,247.29144002071513,17.041471001440883,2955.199394495951
1770.0,180.10220132695608,245.91059984018767,17.148842624821956,2962.375138146763
1780.0,178.87579236108004,244.50569713520136,17.25605300404768,2969.339793143018
1790.0,177.62703632007984,242.97071729513658,17.363259144118622,2976.225347642501
1800.0,176.35474751202673,241.5203180960195,17.470388892824808,2982.975890822143
1810.0,175.0735765667497,240.05730311781787,17.57828988520659,2990.275424015216
1820.0,173.77195788278846,238.46324235487944,17.686366355974158,2997.621346717786
1830.0,172.44771282255948,236.84515055857176,17.794512928033342,3004.9214565314674
1840.0,171.10976462260896,235.3206536065541,17.903255268359214,3012.622588527488
1850.0,169.75082115159293,233.77430160249443,18.012234543541066,3020.402220325829
1860.0,168.37330381124372,232.09502138288423,18.121615571183604,3028.4027426740736
1870.0,166.96899675208647,230.38796251798186,18.23097096948211,3036.229998114292
1880.0,165.53805217052587,228.65300055270046,18.340298361491396,3043.8874488309475
1890.0,164.08122713397213,226.8904604348731,18.44963565377213,3051.4136421067055
1900.0,162.5984755581482,225.1000793237361,18.558975702257975,3058.805229273157
1910.0,161.09559885528623,223.28595547428478,18.66873054880037,3066.4295445591315
1920.0,159.5655046315324,221.44260003323097,18.778450940475608,3073.8731673291986
1930.0,158.00540588696018,219.56767735738137,18.887890057798103,3080.9259936176027
1940.0,156.42386844410865,217.54883554841825,18.997717229962056,3088.189242275261
1950.0,154.81423327226955,215.61715349496325,19.107412660757344,3095.193073565576
1960.0,153.17513141884362,213.53341942473412,19.21677000350376,3101.772284462979
1970.0,151.510370984214,211.5397577067248,19.326108445681506,3108.2174118521802
