Pit_ID,Slope Angle,HS,Profile Depth,WL_Depth,RBlock_Score,RBlock_Fracture_Character,RBlock_Release_Type,max_stress,impact_criterion,coupled_criterion,sserr_result,touchdown_distance,ss_max_Sxx_norm,slab_tensile_criterion
3b62d3ec-b978-41a6-beb4-ad94d97b2c72,29,1550.0,1550.0,610.0,RB5,Clean,EB,0.08517153206525922,199.40623901381622,507.2281592816822,5.902880916171218,2587.068892181113,1.65216446931041,0.25363489499192243
5d8c01fd-aa21-46c8-a41d-f95cc8ad681e,30,800.0,800.0,800.0,RB4,Irregular,EB,0.06493946183203562,112.80568245127336,303.15031245974734,5.302937014222428,1816.018050096736,1.7575924890020123,0.19206939281288724
0f7a0442-5af9-443b-aa74-69f6f1d41561,35,770.0,770.0,770.0,RB2,Rough,WB,0.0779168781230028,142.29274100817534,379.75366610073894,5.713261270246212,2019.0429851673296,2.389501559013577,0.0979381443298969
23f9519e-f6bb-4be1-b8b7-e92a2b4b58da,30,560.0,560.0,270.0,RB2,Clean,WB,0.0048919719220206544,60.313722163586746,152.42150606296906,1.5063292246034237,1029.0590600957357,2.394343394141908,0.2600732600732601
483509e2-5a19-47f2-b68d-bd5f36cedde6,27,1370.0,1370.0,280.0,RB5,Clean,WB,0.0070367833996811385,66.02643526706049,161.98581300527403,1.757066185332571,1118.6294376358073,2.084029477768769,0.36879432624113473
b045830d-fae1-4782-9325-2fa3a2b04bbb,35,1310.0,1310.0,770.0,RB5,Rough,MB,0.042739330401660086,107.21008936693026,284.41131506306135,4.262481833376938,1813.5247347881807,2.0561348199195972,0.05276705276705277
c76cf660-bc6a-486b-a70f-15bfe7d5ad2c,36,1000.0,1000.0,730.0,RB5,Rough,WB,0.04735875393509004,101.32432156888859,266.2024593649501,4.438871900998838,1545.9687502803883,1.6627394471265224,0.20272108843537415
b7f53d68-96cc-47db-866f-a72a7c5d7c63,32,1250.0,1250.0,510.0,RB3,Clean,WB,0.00930106040681794,37.02653749401504,103.99448284827227,2.0453803245350533,897.1024966510939,1.4832406588257874,0.27734375
45fa9731-8520-4667-89e7-6c5290e4f0a7,35,1480.0,1480.0,260.0,RB3,Clean,MB,0.004748559228159394,46.06328939981419,117.70844665850404,1.4545223384563233,962.5260362058979,1.9870699281062811,0.24904214559386972
6766edad-8710-4efa-b3fc-2a01e7860ab9,30,2850.0,2000.0,200.0,RB5,Rough,MB,0.0010435273882145248,13.108903844532534,36.52469681152412,0.7816647669440926,515.3086915400257,1.516128175985221,0.2722772277227723
14d62dd2-b77b-4191-9104-6dbd21f2fc81,33,1030.0,1030.0,60.0,RB4,,,0.0008872835364058067,70.24617243409016,141.36749243182962,0.593595846760685,932.3179175599872,2.0613252726485083,0.25806451612903225
6356e221-2511-40a6-8a36-e2da56413fd2,31,960.0,960.0,580.0,RB3,Irregular,WB,0.035390791043839624,119.58519013874076,290.5599003845884,3.8262678164043713,1677.761131417413,2.052207248090401,0.2363013698630137
333fb10a-3050-4de0-8568-2dba533a9331,34,1690.0,1690.0,905.0,RB4,Clean,MB,0.04352167171249161,93.63987377763915,221.66261686374685,4.181034569349564,1475.3866596680907,1.4162129581303808,0.27850877192982454
