wl_depth,impact_criterion,coupled_criterion,sserr_result,touchdown_distance
50.0,5.95127938691848,10.760776331824214,0.2695698789479584,275.87714018689184
100.0,9.072204318214219,15.117744314233935,0.49551127749658436,365.08545594261705
150.0,24.82183133589619,37.330232862785415,0.721810662213185,565.6221418027684
200.0,56.981819795710365,79.94268506401002,1.1083847539970748,789.042069628709
250.0,71.20610827709946,100.99004288430919,1.557275564016868,911.5188832477927
300.0,83.84566423717685,120.68697221319027,2.0044112146952715,1060.4260648544919
350.0,94.30297328731315,137.36149499460225,2.4510089384365648,1191.6577683461696
400.0,105.42479063505918,154.94796397630333,2.8960899620524447,1341.9125824390203
450.0,112.32225982602752,166.36766173343514,3.345181119358209,1421.4793481181077
500.0,118.29951774683386,176.60894895441257,3.7932047130161584,1500.2530213168357
